,Channels,long,lat,arrival time
0,430.0,-121.887190176,37.3378653439,1361.86467899
1,431.0,-121.887184474,37.3378695671,1361.73790841
2,432.0,-121.88717877,37.3378737929,1361.61113784
3,433.0,-121.887173062,37.3378780211,1361.48436727
4,434.0,-121.88716736,37.3378822446,1361.3575967
5,435.0,-121.887161656,37.3378864703,1361.23082613
6,436.0,-121.887154513,37.3378917386,1361.10405556
7,437.0,-121.88714164,37.3379003126,1360.97728499
8,438.0,-121.887127925,37.3379077186,1360.85051442
9,439.0,-121.887117994,37.3379130006,1360.72374385
10,440.0,-121.887108067,37.3379182816,1360.59697327
11,441.0,-121.887098135,37.3379235646,1360.4702027
12,442.0,-121.887088204,37.3379288467,1360.34343213
13,443.0,-121.887078276,37.3379341279,1360.21666156
14,444.0,-121.887067638,37.3379397828,1360.08989099
15,445.0,-121.887054581,37.3379464575,1359.96312042
16,446.0,-121.887039579,37.337953621,1359.83502214
17,447.0,-121.887025781,37.3379602012,1359.70766678
18,448.0,-121.887013925,37.3379658556,1359.59822589
19,449.0,-121.88700217,37.3379714617,1359.48971029
20,450.0,-121.886990871,37.3379768511,1359.38540578
21,451.0,-121.886979703,37.337982177,1359.28233009
22,452.0,-121.886968642,37.3379874523,1359.18021649
23,453.0,-121.88695774,37.3379926515,1359.07719131
24,454.0,-121.886947981,37.3379973716,1358.97555748
25,455.0,-121.886938973,37.3380019546,1358.87824604
26,456.0,-121.886929097,37.3380069737,1358.78108551
27,457.0,-121.886919363,37.3380119206,1358.68535061
28,458.0,-121.886909636,37.3380168636,1358.58967899
29,459.0,-121.886900045,37.3380217375,1358.49533189
30,460.0,-121.88689031,37.3380266851,1358.39957264
31,461.0,-121.886880994,37.3380314198,1358.30795049
32,462.0,-121.886871722,37.3380361316,1358.21675344
33,463.0,-121.886862418,37.3380408596,1358.12522937
34,464.0,-121.886853635,37.3380453225,1358.03549063
35,465.0,-121.886844713,37.3380499434,1357.9443746
36,466.0,-121.886835648,37.3380546919,1357.85609797
37,467.0,-121.88682627,37.3380596039,1357.76678454
38,468.0,-121.88681703,37.3380644441,1357.67879202
39,469.0,-121.886807783,37.3380692876,1357.59071396
40,470.0,-121.886798989,37.3380738942,1357.50695179
41,471.0,-121.886791743,37.3380776895,1357.43797435
42,472.0,-121.88678429,37.3380815932,1357.36697767
43,473.0,-121.886776977,37.3380854241,1357.29730648
44,474.0,-121.886769598,37.3380892894,1357.22705543
45,475.0,-121.886762164,37.3380931831,1357.15627097
46,476.0,-121.88675473,37.3380970771,1357.08544302
47,477.0,-121.886747401,37.3381009162,1357.0173346
48,478.0,-121.886740174,37.3381046636,1356.94837747
49,479.0,-121.886733727,37.3381079943,1356.88455766
50,480.0,-121.88672721,37.338111362,1356.81936328
51,481.0,-121.886720871,37.3381146372,1356.75597933
52,482.0,-121.88671463,37.3381178616,1356.69358889
53,483.0,-121.886708182,37.338121193,1356.62912984
54,484.0,-121.886701533,37.3381246283,1356.56261749
55,485.0,-121.886694508,37.3381282583,1356.49235008
56,486.0,-121.886687685,37.3381317833,1356.42415415
57,487.0,-121.886681016,37.3381352285,1356.35745704
58,488.0,-121.886674179,37.3381387611,1356.28906573
59,489.0,-121.88666756,37.3381421811,1356.22289164
60,490.0,-121.886660872,37.3381456365,1356.15601659
61,491.0,-121.88665299,37.3381497087,1356.07719493
62,492.0,-121.886645923,37.3381533595,1356.00937753
63,493.0,-121.886636907,37.338157952,1355.92034423
64,494.0,-121.886629898,37.3381615161,1355.84940209
65,495.0,-121.886623269,37.338164887,1355.78202217
66,496.0,-121.886616613,37.338168271,1355.71432726
67,497.0,-121.88661003,37.3381716184,1355.64736905
68,498.0,-121.886603797,37.3381747876,1355.58397258
69,499.0,-121.88659731,37.3381780865,1355.51800746
70,500.0,-121.886591141,37.3381812231,1355.45528689
71,501.0,-121.886584785,37.3381844553,1355.39063596
72,502.0,-121.886578559,37.3381876208,1355.32733348
73,503.0,-121.88657221,37.3381908492,1355.26275692
74,504.0,-121.886565813,37.3381941015,1355.19770229
75,505.0,-121.886556463,37.3381988561,1355.10261441
76,506.0,-121.88654649,37.3382039264,1355.00407443
77,507.0,-121.886536577,37.3382088872,1354.90467871
78,508.0,-121.886526862,37.3382137447,1354.804304
79,509.0,-121.886517293,37.3382185292,1354.7053245
80,510.0,-121.886507673,37.3382233388,1354.60581194
81,511.0,-121.886498087,37.338228132,1354.50663148
82,512.0,-121.886488406,37.3382329726,1354.40649213
83,513.0,-121.886478994,37.3382376784,1354.30913888
84,514.0,-121.886469358,37.3382424963,1354.20945843
85,515.0,-121.886460131,37.3382471097,1354.11401021
86,516.0,-121.88645155,37.3382513933,1354.01504298
87,517.0,-121.886443655,37.3382555774,1353.92100132
88,518.0,-121.886434666,37.3382603813,1353.82613647
89,519.0,-121.886425927,37.3382650529,1353.73570604
90,520.0,-121.886416888,37.3382698837,1353.64222267
91,521.0,-121.886408369,37.3382744371,1353.55407559
92,522.0,-121.886399569,37.3382791406,1353.46304553
93,523.0,-121.886391139,37.3382836459,1353.37584429
94,524.0,-121.88638341,37.3382877776,1353.29586182
95,525.0,-121.886375562,37.3382919722,1353.21469527
96,526.0,-121.886369384,37.3382952741,1353.15078828
97,527.0,-121.886363339,37.3382985051,1353.08825131
98,528.0,-121.886356307,37.3383022605,1353.02161179
99,529.0,-121.886348905,37.3383060893,1352.95331739
